name (english),name (korean),group (english),group (korean),YouTube Channel
JeonWoong,전웅,AB6IX,에이비식스,https://www.youtube.com/@AB6IX/shorts
KimDongHyun,김동현,AB6IX,에이비식스,https://www.youtube.com/@AB6IX/shorts
LeeDaeHwi,이대휘,AB6IX,에이비식스,https://www.youtube.com/@AB6IX/shorts
ParkWooJin,박우진,AB6IX,에이비식스,https://www.youtube.com/@AB6IX/shorts
giselle,지젤,aespa,에스파,https://www.youtube.com/@aespa/shorts
karina,카리나,aespa,에스파,https://www.youtube.com/@aespa/shorts
ningning,닝닝,aespa,에스파,https://www.youtube.com/@aespa/shorts
winter,윈터,aespa,에스파,https://www.youtube.com/@aespa/shorts
LeeChanhyuk,이찬혁,AKMU,악뮤,https://www.youtube.com/@AKMU/shorts
LeeSuhyun,이수현,AKMU,악뮤,https://www.youtube.com/@AKMU/shorts
BoMi,보미,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
ChoRong,초롱,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
EunJi,은지,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
HaYoung,하영,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
NaEun,나은,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
NamJoo,남주,Apink,에이핑크,https://www.youtube.com/@officialapink/shorts
HongJoong,홍중,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
JongHo,종호,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
MinGi,민기,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
San,산,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
SeongHwa,성화,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
WooYoung,우영,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
YeoSang,여상,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
YunHo,윤호,ATEEZ,에이티즈,https://www.youtube.com/@ATEEZofficial/shorts
Baro,바로,B1A4,비원에이포,https://www.youtube.com/@chB1A4/shorts
CNU,신우,B1A4,비원에이포,https://www.youtube.com/@chB1A4/shorts
GongChan,공찬,B1A4,비원에이포,https://www.youtube.com/@chB1A4/shorts
JinYoung,진영,B1A4,비원에이포,https://www.youtube.com/@chB1A4/shorts
SanDeul,산들,B1A4,비원에이포,https://www.youtube.com/@chB1A4/shorts
Ahyeon,아현,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Asa,아사,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Chiquita,치키타,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Pharita,파리타,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Rami,라미,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Rora,로라,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
Ruka, 루카,BABYMONSTER,베이비몬스터,https://www.youtube.com/@BABYMONSTER/shorts
chloeyoung,클로이영,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
emma,엠마,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
hue,휴이,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
INA,이나,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
kelly,켈리,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
vin,빈,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
yunseo,윤서,BADVILLAIN,배드빌런,https://www.youtube.com/@badvillain_bpm/shorts
Daesung,대성,BIGBANG,빅뱅,
GDragon,지드래곤,BIGBANG,빅뱅,
Taeyang,태양,BIGBANG,빅뱅,
HARAM,하람,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
HARUNA,하루나,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
MOONSUA,문수아,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
SHEON,션,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
SIYOON,시윤,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
SUHYEON,수현,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
TSUKI,츠키,Billlie,빌리,https://www.youtube.com/@Billlie/shorts
JAEHYUN,명재현,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
LEEHAN,이한,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
RIWOO,리우,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
SUNGHO,성호,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
TAESAN,태산,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
WOONHAK,운학,BOYNEXTDOOR,보이넥스트도어,https://www.youtube.com/@boynextdoor_official/shorts
LeeChangsub,이창섭,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
LeeMinhyuk,이민혁,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
LimHyunsik,임현식,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
Peniel,프니엘,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
SeoEunkwang,서은광,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
YookSungjae,육성재,BTOB,비투비,https://www.youtube.com/@officialbtob/shorts
jhope,제이홉,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
Jimin,지민,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
Jin,진,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
JungKook,정국,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
RM,알엠,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
SUGA,슈가,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
V,뷔,BTS,방탄소년단,https://www.youtube.com/@BTS/shorts
BOEUN,보은,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
CHAEWON,채원,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
HYEJU,혜주,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
HYUNGSEO,형서,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
JIMIN,지민,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
RIWON,리원,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
SEONYOU,선유,CLASSy,클라씨,https://www.youtube.com/@OFFICIAL_CLASSy/shorts
HyeongJun,형준,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
JungMo,정모,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
MinHee,민희,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
SeongMin,성민,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
SeRim,세림,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
ShihChuan,시권,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
TaeYoung,태영,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
WonJin,원진,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
WooBin,우빈,CRAVITY,크래비티,https://www.youtube.com/@CRAVITYofficial/shorts
D1,디원,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
E_CHAN,이찬,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
GK,지케이,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
HARRY_JUNE,해리준,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
HEECHAN,희찬,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
JUNSEO,준서,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
LUNE,룬,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
YUKU,유쿠,DKB,다크비,https://www.youtube.com/@DKBOFFICIAL/shorts
DaMi,다미,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
GaHyun,가현,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
HanDong,한동,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
JiU,지유,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
SiYeon,시연,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
SuA,수아,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
YooHyeon,유현,Dreamcatcher,드림캐쳐,https://www.youtube.com/@Dreamcatcherofficial/shorts
HEESEUNG,희승,ENHYPEN,엔하이픈,https://www.youtube.com/@ENHYPENOFFICIAL/shorts
JAKE,제이크,ENHYPEN,엔하이픈,https://www.youtube.com/@ENHYPENOFFICIAL/shorts
JAY,제이,ENHYPEN,엔하이픈,https://www.youtube.com/@ENHYPENOFFICIAL/shorts
JUNGWON,정원,ENHYPEN,엔하이픈,https://www.youtube.com/@ENHYPENOFFICIAL/shorts
