group (english),group (korean),YouTube Channel,Channel ID
AB6IX,에이비식스,@AB6IX,UCwytna6i1rFCt13a3Qvuk-A
aespa,에스파,@aespa,UC9GtSLeksfK4yuJ_g1lgQbg
AKMU,악뮤,@AKMU,UCIcXK1CI8URMIqNO_1cehiQ
Apink,에이핑크,@officialapink,UCmW1Pq56lA-k-GWpX1z8WPg
ATEEZ,에이티즈,@ATEEZofficial,UC2e4Ukj5Pfr7cb3KpJAFBdQ
B1A4,비원에이포,@chB1A4,UCDBLl8TPgGzAzUGaqbpwAZA
BABYMONSTER,베이비몬스터,@BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ
BADVILLAIN,배드빌런,@badvillain_bpm,UCh0KpQuSJ9m0DaENZmnYwzw
BIGBANG,빅뱅,
Billlie,빌리,@Billlie,UCyc9sUCxELTDK9vELO5Fzeg
BOYNEXTDOOR,보이넥스트도어,@boynextdoor_official,UChhKBlh_wvspTh5n4mL0b5g
BTOB,비투비,@officialbtob,UCgB7A457ULlgm5c3948vr-w
BTS,방탄소년단,@BTS,UCLkAepWjdylmXSltofFvsYQ
CLASSy,클라씨,@OFFICIAL_CLASSy,UCkCN2qJ8DQTY54ydnxyLc3g
CRAVITY,크래비티,@CRAVITYofficial,UCRm-0JVuUFh5HV7NGG7qXlQ
DKB,다크비,@DKBOFFICIAL,UCCwfiPqSomsqZkkmbjPK5wg
Dreamcatcher,드림캐쳐,@Dreamcatcherofficial,UCijULR2sXLutCRBtW3_WEfA
ENHYPEN,엔하이픈,@ENHYPENOFFICIAL,UCArLZtok93cO5R9RI4_Y5Jw
EPEX,이펙스,@EPEXofficial,UCKHl-9B-aa4AK5ZR9XLOg8A
EVERGLOW,에버글로우,@EVERGLOWOFFICIAL,UCVXzBnzP5i5W-3snrxu8kfg
EXO,엑소,@weareoneEXO,UCzCedBCSSltI1TFd3bKyN6g
FIFTYFIFTY,피프티피프티,@WE_FIFTYFIFTY,UCJEER74X9kBenMT_x9iK9Mw
GIDLE,여자아이들,@official_g_i_dle,UCritGVo7pLJLUS8wEu32vow
GirlsDay,걸스데이,
GirlsGeneration,소녀시대,
GOT7,갓세븐,@GOT7_isourname,UCNtZPzvkjjB3EuPMNY71cmA
H1KEY,하이키,@H1KEY_official,UC0novDS2VRX59Trmbf83I3g
Hearts2Hearts,하츠투하츠,@hearts2hearts.official,UC7Q3HUnJA3nvjZR2JeMn2Cw
Highlight,하이라이트,@OFFICIALHIGHLIGHT,UCGdZ_-svzY_hPLYVSKvMFvw
iKON,아이콘,@iKON,UCWxCyZibDIWIrGIgP25mbfw
ILLIT,아일릿,@ILLIT_official,UCEpFoWeCMCo5z3EvWaz6hQQ
ILY1,아일리원,@ILY1_official,UCpmWSme0G0rE3-H-SFL34iw
ITZY,있지,@ITZY,UCDhM2k2Cua-JdobAh5moMFg
IVE,아이브,@IVEstarship,UC-Fnix71vRP64WXeo0ikd0Q
izna,이즈나,@izna_offcl,UCfbYNlxgLuKJXQZEhkMmaCQ
Kep1er,케플러,@Kep1er_Offcl,UC8whlOg70m2Yr3qSMjUhh0g
KickFlip,킥플립,@kickflip_jype,UCmq9jjpHA69PwAwlA0DwOsg
KiiiKiii,키키,@KiiiKiii_starship,UCaHwGJXFb28TekZMf7iFg5Q
KISSOFLIFE,키스오브라이프,@KISSOFLIFE_official,UCvEEeBssb4XxIfWWIB8IjMw
LE_SSERAFIM,르세라핌,@LESSERAFIM_official,UCs-QBT4qkj_YiQw1ZntDO3g
MADEIN,메이딘,@MADEIN_U,UCQZy15R31id90AlisaiOg2Q
MAMAMOO,마마무,@MAMAMOO_OFFICIAL,UCon8idtgkrW8iGZa5Ujo52Q
MEOVV,미야오,@MEOVV_OFFICIAL,UCowiwt93gqGlNG4k5VDxO-w
MONSTAX,몬스타엑스,@MONSTAX,UCZvCP6sWj75MwpUP4LVtpNw
NCT127,엔시티127,@NCT127,UCk2E0dbAyEJWnrN2bbQOcbg
NCTDREAM,엔시티드림,@NCTDREAM,UCXURHJRGr4-EB3l87kcbElw
NCTWISH,엔시티위시,@NCTWISH,UCiZqWVAeChfqlom5ZPR3ZJA
NewJeans,뉴진스,@NewJeans_official,UCMki_UkHb4qSc0qyEcOHHJw
NMIXX,엔믹스,@NMIXXOfficial,UCnUAyD4t2LkvW68YrDh7fDg
NOWADAYS,나우어데이즈,@CUBE_NOWADAYS,UCFD41EQGXbR5JCRsvNTb9lw
OHMYGIRL,오마이걸,@OHMYGIRL,UC-qYkzKFdekoEniRu_FS3zg
ONF,온앤오프,@ONF_OFFICIAL,UCgdj5bL5_Il2tqsQ7J4k6zw
PLAVE,플레이브,@plave_official,UCPZIPuQPrfrUG9Xe_okEmQA
PURPLEKISS,퍼플키스,@PURPLEKISS,UCor8nQnEdMs4eBcU-uVBQ8g
RedVelvet,레드벨벳,@redvelvet,UCk9GmdlDTBfgGRb7vXeRMoQ
RIIZE,라이즈,@RIIZE_official,UCdVD0MsYecQaIE5Ru-pOIQQ
RocketPunch,로켓펀치,@RocketPunch,UCDbLcCDRjmKrNtuq6O62lng
SAYMYNAME,세이마이네임,@sa2m2nam3,UC-we351yXoKcODFHiKrC84Q
SEVENTEEN,세븐틴,@pledis17,UCfkXDY7vwkcJ8ddFGz8KusA
SF9,에스에프나인,@SF9official,UC8HNshpReWjQv1WpwzhPHjA
SHINEE,샤이니,@SHINee,UCyPwRgc3gQGqhk6RoGS50Ug
STAYC,스테이씨,@STAYC,UCod5V2dpnpJLklGvVOv5FcQ
StrayKids,스트레이키즈,UC9rMiEjNaCSsebs31MRDCRA,
THEBOYZ,더보이즈,@THEBOYZofficial,UCO6E0ddL7e1iC_2DC7Po42w
TOMORROW_X_TOGETHER,투모로우바이투게더,@TXT_bighit,UCtiObj3CsEAdNU6ZPWDsddQ
